"year_month","zip_code","accident_count","light_signal_based_complaint_open_less_than_1_week","road_infra_based_complaint_open_less_than_1_month","road_infra_based_complaint_open_less_than_1_week","light_signal_based_complaint_open_less_than_1_month","light_signal_based_complaint_open_a_month_or_more","road_infra_based_complaint_open_a_month_or_more","dep_infra_based_complaint_open_less_than_1_week","dep_infra_based_complaint_open_less_than_1_month","dep_infra_based_complaint_open_a_month_or_more"
2024-02-01,"11220",42,61,0,49,0,8,0,0,0,0
2024-02-01,"11221",28,42,1,20,1,1,0,0,0,0
2024-02-01,"11222",25,9,3,30,2,1,0,0,0,0
2024-02-01,"11223",49,45,1,15,0,3,1,0,0,0
2024-02-01,"11224",14,21,0,12,4,4,0,0,0,0
2024-02-01,"11225",19,26,0,10,2,4,0,0,0,0
2024-02-01,"11226",66,23,0,38,0,0,0,0,0,0
2024-02-01,"11228",10,21,3,23,2,2,0,0,0,0
2024-02-01,"11229",47,42,0,19,0,5,0,0,0,0
2024-02-01,"11230",42,36,2,46,1,4,1,0,0,0
2024-02-01,"11231",12,10,1,30,1,1,0,0,0,0
2024-02-01,"11232",27,35,0,50,3,5,0,0,0,0
2024-02-01,"11233",45,32,0,20,3,4,0,0,0,0
2024-02-01,"11234",68,42,0,36,2,3,0,0,0,0
2024-02-01,"11235",44,29,0,16,2,3,0,0,0,0
2024-02-01,"11236",72,44,1,41,6,2,1,0,0,0
2024-02-01,"11237",23,19,0,14,0,2,0,0,0,0
2024-02-01,"11238",21,33,2,27,5,5,0,0,0,0
2024-02-01,"11239",13,10,1,3,2,0,0,0,0,0
2024-02-01,"11249",19,15,2,11,0,3,0,0,0,0
2024-02-01,"10000",5,3,0,0,2,0,0,0,0,0
2024-02-01,"10001",23,18,0,20,1,0,0,0,0,0
2024-02-01,"10002",36,25,5,33,1,3,0,0,0,0
2024-02-01,"10003",24,16,0,20,0,2,0,0,0,0
2024-02-01,"10004",7,11,0,18,0,0,0,0,0,0
2024-02-01,"10005",3,2,0,3,0,0,0,0,0,0
2024-02-01,"10006",6,3,0,3,0,0,1,0,0,0
2024-02-01,"10007",12,11,1,15,0,0,0,0,0,0
2024-02-01,"10009",16,13,0,6,2,0,0,0,0,0
2024-02-01,"10010",19,6,0,21,1,0,0,0,0,0
2024-02-01,"10011",21,25,1,22,0,0,0,0,0,0
2024-02-01,"10012",10,9,0,15,1,0,0,0,0,0
2024-02-01,"10013",26,19,3,20,0,3,0,0,0,0
2024-02-01,"10014",16,12,0,11,2,3,0,0,0,0
2024-02-01,"10016",32,39,0,29,2,3,0,0,0,0
2024-02-01,"10017",16,15,0,17,2,3,0,0,0,0
2024-02-01,"10018",19,14,0,11,0,1,0,0,0,0
2024-02-01,"10019",34,45,0,18,0,1,0,0,0,0
2024-02-01,"10020",1,1,0,0,0,0,0,0,0,0
2024-02-01,"10021",10,19,3,22,1,0,0,0,0,0
2024-02-01,"10022",17,24,0,27,3,0,0,0,0,0
2024-02-01,"10023",8,21,0,21,1,4,0,0,0,0
2024-02-01,"10024",2,23,0,15,0,6,0,0,0,0
2024-02-01,"10025",8,25,0,38,0,0,0,0,0,0
2024-02-01,"10026",26,7,0,7,0,1,0,0,0,0
2024-02-01,"10027",34,20,0,16,0,4,0,0,0,0
2024-02-01,"10028",3,5,0,41,1,1,0,0,0,0
2024-02-01,"10029",42,20,0,14,1,2,0,0,0,0
2024-02-01,"10030",8,5,0,10,0,1,0,0,0,0
